asset_id,owner,technology,capacity_mw,commission_year,retirement_year,decision_year,design,seed
legacy-solar,legacy,solar,9000.0,2020,2045,,energy_only,107
gas-a-2026,gas-a,gas,1250.0,2028,2053,2026.0,energy_only,107
peaker-a-2026,peaker-a,peaker,1600.0,2027,2047,2026.0,energy_only,107
solar-a-2026,solar-a,solar,2000.0,2027,2052,2026.0,energy_only,107
wind-a-2026,wind-a,wind,1250.0,2028,2053,2026.0,energy_only,107
wind-b-2026,wind-b,wind,500.0,2028,2053,2026.0,energy_only,107
gas-a-2027,gas-a,gas,1250.0,2029,2054,2027.0,energy_only,107
peaker-a-2027,peaker-a,peaker,1600.0,2028,2048,2027.0,energy_only,107
solar-a-2027,solar-a,solar,2000.0,2028,2053,2027.0,energy_only,107
wind-a-2027,wind-a,wind,1250.0,2029,2054,2027.0,energy_only,107
wind-b-2027,wind-b,wind,500.0,2029,2054,2027.0,energy_only,107
gas-a-2028,gas-a,gas,1250.0,2030,2055,2028.0,energy_only,107
peaker-a-2028,peaker-a,peaker,1600.0,2029,2049,2028.0,energy_only,107
solar-a-2028,solar-a,solar,2000.0,2029,2054,2028.0,energy_only,107
wind-a-2028,wind-a,wind,1250.0,2030,2055,2028.0,energy_only,107
wind-b-2028,wind-b,wind,500.0,2030,2055,2028.0,energy_only,107
gas-a-2029,gas-a,gas,1250.0,2031,2056,2029.0,energy_only,107
peaker-a-2029,peaker-a,peaker,1600.0,2030,2050,2029.0,energy_only,107
solar-a-2029,solar-a,solar,2000.0,2030,2055,2029.0,energy_only,107
wind-a-2029,wind-a,wind,1250.0,2031,2056,2029.0,energy_only,107
wind-b-2029,wind-b,wind,500.0,2031,2056,2029.0,energy_only,107
peaker-a-2030,peaker-a,peaker,1600.0,2031,2051,2030.0,energy_only,107
solar-a-2030,solar-a,solar,2000.0,2031,2056,2030.0,energy_only,107
legacy-gas,legacy,gas,14000.0,2008,2035,,stylised_capacity_payment,107
retiring-gas,legacy,gas,3000.0,2001,2029,,stylised_capacity_payment,107
legacy-peaker,legacy,peaker,3000.0,2018,2038,,stylised_capacity_payment,107
legacy-wind,legacy,wind,12000.0,2020,2045,,stylised_capacity_payment,107
legacy-solar,legacy,solar,9000.0,2020,2045,,stylised_capacity_payment,107
gas-a-2026,gas-a,gas,1250.0,2028,2053,2026.0,stylised_capacity_payment,107
peaker-a-2026,peaker-a,peaker,1600.0,2027,2047,2026.0,stylised_capacity_payment,107
solar-a-2026,solar-a,solar,2000.0,2027,2052,2026.0,stylised_capacity_payment,107
wind-a-2026,wind-a,wind,1250.0,2028,2053,2026.0,stylised_capacity_payment,107
wind-b-2026,wind-b,wind,500.0,2028,2053,2026.0,stylised_capacity_payment,107
gas-a-2027,gas-a,gas,1250.0,2029,2054,2027.0,stylised_capacity_payment,107
peaker-a-2027,peaker-a,peaker,1600.0,2028,2048,2027.0,stylised_capacity_payment,107
solar-a-2027,solar-a,solar,2000.0,2028,2053,2027.0,stylised_capacity_payment,107
wind-a-2027,wind-a,wind,1250.0,2029,2054,2027.0,stylised_capacity_payment,107
wind-b-2027,wind-b,wind,500.0,2029,2054,2027.0,stylised_capacity_payment,107
gas-a-2028,gas-a,gas,1250.0,2030,2055,2028.0,stylised_capacity_payment,107
peaker-a-2028,peaker-a,peaker,1600.0,2029,2049,2028.0,stylised_capacity_payment,107
solar-a-2028,solar-a,solar,2000.0,2029,2054,2028.0,stylised_capacity_payment,107
wind-a-2028,wind-a,wind,1250.0,2030,2055,2028.0,stylised_capacity_payment,107
wind-b-2028,wind-b,wind,500.0,2030,2055,2028.0,stylised_capacity_payment,107
gas-a-2029,gas-a,gas,1250.0,2031,2056,2029.0,stylised_capacity_payment,107
peaker-a-2029,peaker-a,peaker,1600.0,2030,2050,2029.0,stylised_capacity_payment,107
solar-a-2029,solar-a,solar,2000.0,2030,2055,2029.0,stylised_capacity_payment,107
wind-a-2029,wind-a,wind,1250.0,2031,2056,2029.0,stylised_capacity_payment,107
wind-b-2029,wind-b,wind,500.0,2031,2056,2029.0,stylised_capacity_payment,107
peaker-a-2030,peaker-a,peaker,1600.0,2031,2051,2030.0,stylised_capacity_payment,107
solar-a-2030,solar-a,solar,2000.0,2031,2056,2030.0,stylised_capacity_payment,107
legacy-gas,legacy,gas,14000.0,2008,2035,,energy_only,108
retiring-gas,legacy,gas,3000.0,2001,2029,,energy_only,108
legacy-peaker,legacy,peaker,3000.0,2018,2038,,energy_only,108
legacy-wind,legacy,wind,12000.0,2020,2045,,energy_only,108
legacy-solar,legacy,solar,9000.0,2020,2045,,energy_only,108
gas-a-2026,gas-a,gas,1250.0,2028,2053,2026.0,energy_only,108
peaker-a-2026,peaker-a,peaker,1600.0,2027,2047,2026.0,energy_only,108
solar-a-2026,solar-a,solar,2000.0,2027,2052,2026.0,energy_only,108
wind-a-2026,wind-a,wind,1250.0,2028,2053,2026.0,energy_only,108
wind-b-2026,wind-b,wind,500.0,2028,2053,2026.0,energy_only,108
gas-a-2027,gas-a,gas,1250.0,2029,2054,2027.0,energy_only,108
peaker-a-2027,peaker-a,peaker,1600.0,2028,2048,2027.0,energy_only,108
solar-a-2027,solar-a,solar,2000.0,2028,2053,2027.0,energy_only,108
wind-a-2027,wind-a,wind,1250.0,2029,2054,2027.0,energy_only,108
wind-b-2027,wind-b,wind,500.0,2029,2054,2027.0,energy_only,108
gas-a-2028,gas-a,gas,1250.0,2030,2055,2028.0,energy_only,108
peaker-a-2028,peaker-a,peaker,1600.0,2029,2049,2028.0,energy_only,108
solar-a-2028,solar-a,solar,2000.0,2029,2054,2028.0,energy_only,108
wind-a-2028,wind-a,wind,1250.0,2030,2055,2028.0,energy_only,108
wind-b-2028,wind-b,wind,500.0,2030,2055,2028.0,energy_only,108
gas-a-2029,gas-a,gas,1250.0,2031,2056,2029.0,energy_only,108
peaker-a-2029,peaker-a,peaker,1600.0,2030,2050,2029.0,energy_only,108
solar-a-2029,solar-a,solar,2000.0,2030,2055,2029.0,energy_only,108
wind-a-2029,wind-a,wind,1250.0,2031,2056,2029.0,energy_only,108
wind-b-2029,wind-b,wind,500.0,2031,2056,2029.0,energy_only,108
peaker-a-2030,peaker-a,peaker,1600.0,2031,2051,2030.0,energy_only,108
solar-a-2030,solar-a,solar,2000.0,2031,2056,2030.0,energy_only,108
legacy-gas,legacy,gas,14000.0,2008,2035,,stylised_capacity_payment,108
retiring-gas,legacy,gas,3000.0,2001,2029,,stylised_capacity_payment,108
legacy-peaker,legacy,peaker,3000.0,2018,2038,,stylised_capacity_payment,108
legacy-wind,legacy,wind,12000.0,2020,2045,,stylised_capacity_payment,108
legacy-solar,legacy,solar,9000.0,2020,2045,,stylised_capacity_payment,108
gas-a-2026,gas-a,gas,1250.0,2028,2053,2026.0,stylised_capacity_payment,108
peaker-a-2026,peaker-a,peaker,1600.0,2027,2047,2026.0,stylised_capacity_payment,108
solar-a-2026,solar-a,solar,2000.0,2027,2052,2026.0,stylised_capacity_payment,108
wind-a-2026,wind-a,wind,1250.0,2028,2053,2026.0,stylised_capacity_payment,108
wind-b-2026,wind-b,wind,500.0,2028,2053,2026.0,stylised_capacity_payment,108
gas-a-2027,gas-a,gas,1250.0,2029,2054,2027.0,stylised_capacity_payment,108
peaker-a-2027,peaker-a,peaker,1600.0,2028,2048,2027.0,stylised_capacity_payment,108
solar-a-2027,solar-a,solar,2000.0,2028,2053,2027.0,stylised_capacity_payment,108
wind-a-2027,wind-a,wind,1250.0,2029,2054,2027.0,stylised_capacity_payment,108
wind-b-2027,wind-b,wind,500.0,2029,2054,2027.0,stylised_capacity_payment,108
gas-a-2028,gas-a,gas,1250.0,2030,2055,2028.0,stylised_capacity_payment,108
peaker-a-2028,peaker-a,peaker,1600.0,2029,2049,2028.0,stylised_capacity_payment,108
solar-a-2028,solar-a,solar,2000.0,2029,2054,2028.0,stylised_capacity_payment,108
wind-a-2028,wind-a,wind,1250.0,2030,2055,2028.0,stylised_capacity_payment,108
wind-b-2028,wind-b,wind,500.0,2030,2055,2028.0,stylised_capacity_payment,108
gas-a-2029,gas-a,gas,1250.0,2031,2056,2029.0,stylised_capacity_payment,108
peaker-a-2029,peaker-a,peaker,1600.0,2030,2050,2029.0,stylised_capacity_payment,108
solar-a-2029,solar-a,solar,2000.0,2030,2055,2029.0,stylised_capacity_payment,108
wind-a-2029,wind-a,wind,1250.0,2031,2056,2029.0,stylised_capacity_payment,108
wind-b-2029,wind-b,wind,500.0,2031,2056,2029.0,stylised_capacity_payment,108
peaker-a-2030,peaker-a,peaker,1600.0,2031,2051,2030.0,stylised_capacity_payment,108
solar-a-2030,solar-a,solar,2000.0,2031,2056,2030.0,stylised_capacity_payment,108
legacy-gas,legacy,gas,14000.0,2008,2035,,energy_only,109
retiring-gas,legacy,gas,3000.0,2001,2029,,energy_only,109
legacy-peaker,legacy,peaker,3000.0,2018,2038,,energy_only,109
legacy-wind,legacy,wind,12000.0,2020,2045,,energy_only,109
legacy-solar,legacy,solar,9000.0,2020,2045,,energy_only,109
gas-a-2026,gas-a,gas,1250.0,2028,2053,2026.0,energy_only,109
peaker-a-2026,peaker-a,peaker,1600.0,2027,2047,2026.0,energy_only,109
solar-a-2026,solar-a,solar,2000.0,2027,2052,2026.0,energy_only,109
wind-a-2026,wind-a,wind,1250.0,2028,2053,2026.0,energy_only,109
wind-b-2026,wind-b,wind,500.0,2028,2053,2026.0,energy_only,109
gas-a-2027,gas-a,gas,1250.0,2029,2054,2027.0,energy_only,109
peaker-a-2027,peaker-a,peaker,1600.0,2028,2048,2027.0,energy_only,109
solar-a-2027,solar-a,solar,2000.0,2028,2053,2027.0,energy_only,109
wind-a-2027,wind-a,wind,1250.0,2029,2054,2027.0,energy_only,109
wind-b-2027,wind-b,wind,500.0,2029,2054,2027.0,energy_only,109
gas-a-2028,gas-a,gas,1250.0,2030,2055,2028.0,energy_only,109
peaker-a-2028,peaker-a,peaker,1600.0,2029,2049,2028.0,energy_only,109
solar-a-2028,solar-a,solar,2000.0,2029,2054,2028.0,energy_only,109
wind-a-2028,wind-a,wind,1250.0,2030,2055,2028.0,energy_only,109
wind-b-2028,wind-b,wind,500.0,2030,2055,2028.0,energy_only,109
gas-a-2029,gas-a,gas,1250.0,2031,2056,2029.0,energy_only,109
peaker-a-2029,peaker-a,peaker,1600.0,2030,2050,2029.0,energy_only,109
solar-a-2029,solar-a,solar,2000.0,2030,2055,2029.0,energy_only,109
wind-a-2029,wind-a,wind,1250.0,2031,2056,2029.0,energy_only,109
wind-b-2029,wind-b,wind,500.0,2031,2056,2029.0,energy_only,109
peaker-a-2030,peaker-a,peaker,1600.0,2031,2051,2030.0,energy_only,109
solar-a-2030,solar-a,solar,2000.0,2031,2056,2030.0,energy_only,109
legacy-gas,legacy,gas,14000.0,2008,2035,,stylised_capacity_payment,109
retiring-gas,legacy,gas,3000.0,2001,2029,,stylised_capacity_payment,109
legacy-peaker,legacy,peaker,3000.0,2018,2038,,stylised_capacity_payment,109
legacy-wind,legacy,wind,12000.0,2020,2045,,stylised_capacity_payment,109
legacy-solar,legacy,solar,9000.0,2020,2045,,stylised_capacity_payment,109
gas-a-2026,gas-a,gas,1250.0,2028,2053,2026.0,stylised_capacity_payment,109
peaker-a-2026,peaker-a,peaker,1600.0,2027,2047,2026.0,stylised_capacity_payment,109
solar-a-2026,solar-a,solar,2000.0,2027,2052,2026.0,stylised_capacity_payment,109
wind-a-2026,wind-a,wind,1250.0,2028,2053,2026.0,stylised_capacity_payment,109
wind-b-2026,wind-b,wind,500.0,2028,2053,2026.0,stylised_capacity_payment,109
gas-a-2027,gas-a,gas,1250.0,2029,2054,2027.0,stylised_capacity_payment,109
peaker-a-2027,peaker-a,peaker,1600.0,2028,2048,2027.0,stylised_capacity_payment,109
solar-a-2027,solar-a,solar,2000.0,2028,2053,2027.0,stylised_capacity_payment,109
wind-a-2027,wind-a,wind,1250.0,2029,2054,2027.0,stylised_capacity_payment,109
wind-b-2027,wind-b,wind,500.0,2029,2054,2027.0,stylised_capacity_payment,109
gas-a-2028,gas-a,gas,1250.0,2030,2055,2028.0,stylised_capacity_payment,109
peaker-a-2028,peaker-a,peaker,1600.0,2029,2049,2028.0,stylised_capacity_payment,109
solar-a-2028,solar-a,solar,2000.0,2029,2054,2028.0,stylised_capacity_payment,109
wind-a-2028,wind-a,wind,1250.0,2030,2055,2028.0,stylised_capacity_payment,109
wind-b-2028,wind-b,wind,500.0,2030,2055,2028.0,stylised_capacity_payment,109
gas-a-2029,gas-a,gas,1250.0,2031,2056,2029.0,stylised_capacity_payment,109
peaker-a-2029,peaker-a,peaker,1600.0,2030,2050,2029.0,stylised_capacity_payment,109
solar-a-2029,solar-a,solar,2000.0,2030,2055,2029.0,stylised_capacity_payment,109
wind-a-2029,wind-a,wind,1250.0,2031,2056,2029.0,stylised_capacity_payment,109
wind-b-2029,wind-b,wind,500.0,2031,2056,2029.0,stylised_capacity_payment,109
peaker-a-2030,peaker-a,peaker,1600.0,2031,2051,2030.0,stylised_capacity_payment,109
solar-a-2030,solar-a,solar,2000.0,2031,2056,2030.0,stylised_capacity_payment,109
legacy-gas,legacy,gas,14000.0,2008,2035,,energy_only,110
retiring-gas,legacy,gas,3000.0,2001,2029,,energy_only,110
legacy-peaker,legacy,peaker,3000.0,2018,2038,,energy_only,110
legacy-wind,legacy,wind,12000.0,2020,2045,,energy_only,110
legacy-solar,legacy,solar,9000.0,2020,2045,,energy_only,110
gas-a-2026,gas-a,gas,1250.0,2028,2053,2026.0,energy_only,110
peaker-a-2026,peaker-a,peaker,1600.0,2027,2047,2026.0,energy_only,110
solar-a-2026,solar-a,solar,2000.0,2027,2052,2026.0,energy_only,110
wind-a-2026,wind-a,wind,1250.0,2028,2053,2026.0,energy_only,110
wind-b-2026,wind-b,wind,500.0,2028,2053,2026.0,energy_only,110
gas-a-2027,gas-a,gas,1250.0,2029,2054,2027.0,energy_only,110
peaker-a-2027,peaker-a,peaker,1600.0,2028,2048,2027.0,energy_only,110
solar-a-2027,solar-a,solar,2000.0,2028,2053,2027.0,energy_only,110
wind-a-2027,wind-a,wind,1250.0,2029,2054,2027.0,energy_only,110
wind-b-2027,wind-b,wind,500.0,2029,2054,2027.0,energy_only,110
gas-a-2028,gas-a,gas,1250.0,2030,2055,2028.0,energy_only,110
peaker-a-2028,peaker-a,peaker,1600.0,2029,2049,2028.0,energy_only,110
solar-a-2028,solar-a,solar,2000.0,2029,2054,2028.0,energy_only,110
wind-a-2028,wind-a,wind,1250.0,2030,2055,2028.0,energy_only,110
wind-b-2028,wind-b,wind,500.0,2030,2055,2028.0,energy_only,110
gas-a-2029,gas-a,gas,1250.0,2031,2056,2029.0,energy_only,110
peaker-a-2029,peaker-a,peaker,1600.0,2030,2050,2029.0,energy_only,110
solar-a-2029,solar-a,solar,2000.0,2030,2055,2029.0,energy_only,110
wind-a-2029,wind-a,wind,1250.0,2031,2056,2029.0,energy_only,110
wind-b-2029,wind-b,wind,500.0,2031,2056,2029.0,energy_only,110
peaker-a-2030,peaker-a,peaker,1600.0,2031,2051,2030.0,energy_only,110
solar-a-2030,solar-a,solar,2000.0,2031,2056,2030.0,energy_only,110
legacy-gas,legacy,gas,14000.0,2008,2035,,stylised_capacity_payment,110
retiring-gas,legacy,gas,3000.0,2001,2029,,stylised_capacity_payment,110
legacy-peaker,legacy,peaker,3000.0,2018,2038,,stylised_capacity_payment,110
legacy-wind,legacy,wind,12000.0,2020,2045,,stylised_capacity_payment,110
legacy-solar,legacy,solar,9000.0,2020,2045,,stylised_capacity_payment,110
gas-a-2026,gas-a,gas,1250.0,2028,2053,2026.0,stylised_capacity_payment,110
peaker-a-2026,peaker-a,peaker,1600.0,2027,2047,2026.0,stylised_capacity_payment,110
solar-a-2026,solar-a,solar,2000.0,2027,2052,2026.0,stylised_capacity_payment,110
wind-a-2026,wind-a,wind,1250.0,2028,2053,2026.0,stylised_capacity_payment,110
wind-b-2026,wind-b,wind,500.0,2028,2053,2026.0,stylised_capacity_payment,110
gas-a-2027,gas-a,gas,1250.0,2029,2054,2027.0,stylised_capacity_payment,110
peaker-a-2027,peaker-a,peaker,1600.0,2028,2048,2027.0,stylised_capacity_payment,110
solar-a-2027,solar-a,solar,2000.0,2028,2053,2027.0,stylised_capacity_payment,110
wind-a-2027,wind-a,wind,1250.0,2029,2054,2027.0,stylised_capacity_payment,110
wind-b-2027,wind-b,wind,500.0,2029,2054,2027.0,stylised_capacity_payment,110
gas-a-2028,gas-a,gas,1250.0,2030,2055,2028.0,stylised_capacity_payment,110
peaker-a-2028,peaker-a,peaker,1600.0,2029,2049,2028.0,stylised_capacity_payment,110
solar-a-2028,solar-a,solar,2000.0,2029,2054,2028.0,stylised_capacity_payment,110
wind-a-2028,wind-a,wind,1250.0,2030,2055,2028.0,stylised_capacity_payment,110
wind-b-2028,wind-b,wind,500.0,2030,2055,2028.0,stylised_capacity_payment,110
gas-a-2029,gas-a,gas,1250.0,2031,2056,2029.0,stylised_capacity_payment,110
peaker-a-2029,peaker-a,peaker,1600.0,2030,2050,2029.0,stylised_capacity_payment,110
solar-a-2029,solar-a,solar,2000.0,2030,2055,2029.0,stylised_capacity_payment,110
wind-a-2029,wind-a,wind,1250.0,2031,2056,2029.0,stylised_capacity_payment,110
wind-b-2029,wind-b,wind,500.0,2031,2056,2029.0,stylised_capacity_payment,110
peaker-a-2030,peaker-a,peaker,1600.0,2031,2051,2030.0,stylised_capacity_payment,110
solar-a-2030,solar-a,solar,2000.0,2031,2056,2030.0,stylised_capacity_payment,110
legacy-gas,legacy,gas,14000.0,2008,2035,,energy_only,111
retiring-gas,legacy,gas,3000.0,2001,2029,,energy_only,111
legacy-peaker,legacy,peaker,3000.0,2018,2038,,energy_only,111
legacy-wind,legacy,wind,12000.0,2020,2045,,energy_only,111
legacy-solar,legacy,solar,9000.0,2020,2045,,energy_only,111
gas-a-2026,gas-a,gas,1250.0,2028,2053,2026.0,energy_only,111
peaker-a-2026,peaker-a,peaker,1600.0,2027,2047,2026.0,energy_only,111
solar-a-2026,solar-a,solar,2000.0,2027,2052,2026.0,energy_only,111
wind-a-2026,wind-a,wind,1250.0,2028,2053,2026.0,energy_only,111
wind-b-2026,wind-b,wind,500.0,2028,2053,2026.0,energy_only,111
gas-a-2027,gas-a,gas,1250.0,2029,2054,2027.0,energy_only,111
peaker-a-2027,peaker-a,peaker,1600.0,2028,2048,2027.0,energy_only,111
solar-a-2027,solar-a,solar,2000.0,2028,2053,2027.0,energy_only,111
wind-a-2027,wind-a,wind,1250.0,2029,2054,2027.0,energy_only,111
wind-b-2027,wind-b,wind,500.0,2029,2054,2027.0,energy_only,111
gas-a-2028,gas-a,gas,1250.0,2030,2055,2028.0,energy_only,111
peaker-a-2028,peaker-a,peaker,1600.0,2029,2049,2028.0,energy_only,111
solar-a-2028,solar-a,solar,2000.0,2029,2054,2028.0,energy_only,111
wind-a-2028,wind-a,wind,1250.0,2030,2055,2028.0,energy_only,111
wind-b-2028,wind-b,wind,500.0,2030,2055,2028.0,energy_only,111
gas-a-2029,gas-a,gas,1250.0,2031,2056,2029.0,energy_only,111
peaker-a-2029,peaker-a,peaker,1600.0,2030,2050,2029.0,energy_only,111
solar-a-2029,solar-a,solar,2000.0,2030,2055,2029.0,energy_only,111
wind-a-2029,wind-a,wind,1250.0,2031,2056,2029.0,energy_only,111
wind-b-2029,wind-b,wind,500.0,2031,2056,2029.0,energy_only,111
peaker-a-2030,peaker-a,peaker,1600.0,2031,2051,2030.0,energy_only,111
solar-a-2030,solar-a,solar,2000.0,2031,2056,2030.0,energy_only,111
legacy-gas,legacy,gas,14000.0,2008,2035,,stylised_capacity_payment,111
retiring-gas,legacy,gas,3000.0,2001,2029,,stylised_capacity_payment,111
legacy-peaker,legacy,peaker,3000.0,2018,2038,,stylised_capacity_payment,111
legacy-wind,legacy,wind,12000.0,2020,2045,,stylised_capacity_payment,111
